1ª MOVIE IS --> DEADPOOL YOUR GENDER IS FROM ACTION AND THE MOVIE LASTS A NUMBER OF 2 HOUR, 21 MINUTES Y 1 SECOND 
2ª MOVIE IS --> BIG BAN YOUR GENDER IS FROM COMEDY AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 35 MINUTES Y 1 SECOND 
3ª MOVIE IS --> BIG BAN YOUR GENDER IS FROM COMEDY AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 35 MINUTES Y 1 SECOND 
4ª MOVIE IS --> ALICE IN THE WONDERLAND YOUR GENDER IS FROM FANTASY AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 50 MINUTES Y 43 SECONDS 
5ª MOVIE IS --> BARBIE: MARIPOSA AND HER BUTTERFLY FAIRY FRIENDS YOUR GENDER IS FROM FANTASY AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 17 MINUTES Y 32 SECONDS 
6ª MOVIE IS --> THE LAST SEVEN MONTHS OF ANNE FRANK YOUR GENDER IS FROM WAR AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 14 MINUTES Y 1 SECOND 
7ª MOVIE IS --> MY NEIGHBOR TOTTORO YOUR GENDER IS FROM CHILDREN MOVIE AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 36 MINUTES Y 31 SECONDS 
8ª MOVIE IS --> THE GOLDEN COMPASS YOUR GENDER IS FROM FANTASY AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 53 MINUTES Y 35 SECONDS 
9ª MOVIE IS --> MY LITTLE PONY EQUESTRIA GIRLS FORGOTTEN FRINDSHIP YOUR GENDER IS FROM CHILDREN MOVIE AND THE MOVIE LASTS A NUMBER OF 1 HOURS, 50 MINUTES Y 47 SECONDS 
10ª MOVIE IS --> LORD OF THE RINGS: FELLOWSHIP OF THE RING YOUR GENDER IS FROM FANTASY AND THE MOVIE LASTS A NUMBER OF 1 HOURS, 58 MINUTES Y 32 SECONDS 
11ª MOVIE IS --> ANTZ YOUR GENDER IS FROM CHILDREN MOVIE AND THE MOVIE LASTS A NUMBER OF 1 HOUR, 22 MINUTES Y 55 SECONDS 
